assignment_grade_id,assignment_id,student_id,score,submission_date,feedback,graded_at
1,1,1,95.0,2024-09-25,Отличная работа!,2025-05-11 18:19:04
2,2,3,88.0,2024-10-10,"Хороший анализ, но можно лучше.",2025-05-11 18:19:04
3,3,2,76.0,2024-10-18,"Неплохо, но есть ошибки.",2025-05-11 18:19:04
4,4,4,90.0,2024-10-03,Отлично выполнено!,2025-05-11 18:19:04
5,5,5,85.0,2024-10-15,"Хорошая работа, но есть недочеты.",2025-05-11 18:19:04
6,6,6,80.0,2024-10-20,"Неплохо, но можно улучшить.",2025-05-11 18:19:04
7,7,7,92.0,2024-10-08,Отличная работа!,2025-05-11 18:19:04
8,8,8,87.0,2024-10-23,"Хороший анализ, но можно лучше.",2025-05-11 18:19:04
9,9,9,78.0,2024-10-26,"Неплохо, но есть ошибки.",2025-05-11 18:19:04
10,10,10,94.0,2024-10-30,Отличная работа!,2025-05-11 18:19:04
